Label,Area,Site
mauve flower herb - 5.jpg,243.163,Nariel
mauve flower herb - 5.jpg,335.252,Nariel
mauve flower herb - 5.jpg,289.098,Nariel
mauve flower herb - 5.jpg,190.123,Nariel
mauve flower herb - 5.jpg,184.841,Nariel
mauve flower herb - 5.jpg,218.412,Nariel
mauve flower herb - 5.jpg,194.558,Nariel
mauve flower herb - 5.jpg,304.11,Nariel
mauve flower herb - 5.jpg,345.895,Nariel
mauve flower herb - 5.jpg,282.19,Nariel
mauve flower herb - 5.jpg,353.459,Nariel
mauve flower herb - 5.jpg,86.567,Nariel
mauve flower herb - 5.jpg,135.325,Nariel
mauve flower herb - 5.jpg,16.158,Nariel
mauve flower herb - 5.jpg,269.096,Nariel
mauve flower herb - 5.jpg,251.464,Nariel
mauve flower herb - 5.jpg,209.25,Nariel
mauve flower herb - 5.jpg,236.226,Nariel
mauve flower herb - 5.jpg,212.707,Nariel
nariel - stellaria or not 1.jpg,49.896,Nariel
nariel - stellaria or not 1.jpg,72.459,Nariel
nariel - stellaria or not 1.jpg,38.764,Nariel
nariel - stellaria or not 1.jpg,81.657,Nariel
nariel - stellaria or not 1.jpg,55.849,Nariel
nariel - stellaria or not 1.jpg,56.841,Nariel
nariel - stellaria or not 1.jpg,23.095,Nariel
nariel - stellaria or not 1.jpg,55.097,Nariel
nariel - stellaria or not 1.jpg,37.546,Nariel
nariel - stellaria or not 1.jpg,61.962,Nariel
nariel - stellaria or not 1.jpg,60.685,Nariel
nariel - stellaria or not 1.jpg,59.503,Nariel
nariel - stellaria or not 1.jpg,86.559,Nariel
nariel - stellaria or not 1.jpg,47.963,Nariel
nariel - stellaria or not 1.jpg,55.498,Nariel
nariel - stellaria or not 1.jpg,46.657,Nariel
nariel - stellaria or not 1.jpg,53.718,Nariel
nariel - stellaria or not 1.jpg,32.002,Nariel
nariel - stellaria or not 1.jpg,52.354,Nariel
nariel - stellaria or not 1.jpg,28.449,Nariel
nariel - stellaria or not 1.jpg,77.901,Nariel
nariel - stellaria or not 1.jpg,87.639,Nariel
nariel - stellaria or not 1.jpg,68.571,Nariel
nariel - stellaria or not 1.jpg,61.269,Nariel
nariel - stellaria or not 1.jpg,84.882,Nariel
nariel - stellaria or not 1.jpg,69.278,Nariel
nariel - stellaria or not 1.jpg,58.504,Nariel
nariel - stellaria or not 1.jpg,51.092,Nariel
nariel - stellaria or not 1.jpg,40.858,Nariel
nariel - stellaria or not 1.jpg,32.768,Nariel
nariel - stellaria or not 1.jpg,43.958,Nariel
nariel - stellaria or not 1.jpg,46.044,Nariel
nariel - stellaria or not 1.jpg,56.578,Nariel
nariel - stellaria or not 1.jpg,57.563,Nariel
nariel - stellaria or not 2.jpg,42.244,Nariel
nariel - stellaria or not 2.jpg,34.825,Nariel
nariel - stellaria or not 2.jpg,32.673,Nariel
nariel - stellaria or not 2.jpg,61.896,Nariel
nariel - stellaria or not 2.jpg,49.808,Nariel
nariel - stellaria or not 2.jpg,74.968,Nariel
nariel - stellaria or not 2.jpg,36.992,Nariel
nariel - stellaria or not 2.jpg,52.704,Nariel
nariel - stellaria or not 2.jpg,41.026,Nariel
nariel - stellaria or not 2.jpg,35.051,Nariel
nariel - stellaria or not 2.jpg,38.341,Nariel
nariel - stellaria or not 2.jpg,55.652,Nariel
nariel - stellaria or not 2.jpg,28.843,Nariel
nariel - stellaria or not 2.jpg,20.87,Nariel
nariel - stellaria or not 2.jpg,16.953,Nariel
nariel - stellaria or not 2.jpg,103.731,Nariel
nariel - stellaria or not 2.jpg,25.641,Nariel
nariel - stellaria or not 2.jpg,40.741,Nariel
nariel - stellaria or not 2.jpg,42.492,Nariel
nariel - stellaria or not 2.jpg,25.867,Nariel
nariel - stellaria or not 2.jpg,40.88,Nariel
nariel - stellaria or not 2.jpg,27.895,Nariel
nariel - stellaria or not 2.jpg,47.503,Nariel
nariel - stellaria or not 2.jpg,40.238,Nariel
nariel - stellaria or not 2.jpg,37.24,Nariel
nariel - stellaria or not 2.jpg,62.793,Nariel
