plotID,individual,speciesName,stem,circumference,dbh
8,28,Eucalyptus camphora subsp. humeana,A,89.4,28.45690382
8,29,Eucalyptus camphora subsp. humeana,A,109,34.69577759
8,34,Eucalyptus camphora subsp. humeana,A,72.7,23.14112873
8,35,Eucalyptus camphora subsp. humeana,A,49.7,15.82000134
8,36,Eucalyptus camphora subsp. humeana,A,51,16.2338042
8,37,Eucalyptus camphora subsp. humeana,A,80,25.46479089
8,40,Eucalyptus camphora subsp. humeana,A,67,21.32676237
8,8,Leptospermum brevipes,A,49,15.59718442
8,8,Leptospermum brevipes,B,43.2,13.75098708
8,9,Leptospermum brevipes,A,40.9,13.01887434
8,13,Leptospermum brevipes,A,79.9,25.43295991
8,14,Leptospermum brevipes,A,37.5,11.93662073
8,16,Leptospermum brevipes,A,56.4,17.95267758
8,30,Leptospermum brevipes,A,35.1,11.17267701
8,30,Leptospermum brevipes,B,49,15.59718442
8,33,Leptospermum brevipes,A,49.5,15.75633937
8,33,Leptospermum brevipes,B,43.6,13.87831104
8,5,Leptospermum grandifolium,A,55.7,17.72986066
8,5,Leptospermum grandifolium,B,35.5,11.30000096
8,5,Leptospermum grandifolium,C,64.8,20.62648062
8,38,Leptospermum grandifolium,A,57.1,18.1754945
8,39,Leptospermum grandifolium,A,53.7,17.09324089
8,18,Pomaderris aspera,A,34,10.82253613
8,19,Pomaderris aspera,A,31.6,10.0585924
8,22,Pomaderris aspera,A,41.7,13.27352225
8,31,Pomaderris aspera,A,43.2,13.75098708
8,43,Pomaderris aspera,A,34,10.82253613
8,43,Pomaderris aspera,B,33,10.50422624
8,43,Pomaderris aspera,C,43.3,13.78281807
9,1,Acacia dealbata,A,34.6,11.01352206
9,2,Acacia dealbata,A,31.6,10.0585924
9,3,Acacia dealbata,A,41.5,13.20986028
9,4,Acacia dealbata,A,33.2,10.56788822
9,9,Acacia dealbata,A,40.4,12.8597194
9,10,Acacia dealbata,A,40.4,12.8597194
9,12,Acacia dealbata,A,44.8,14.2602829
9,13,Acacia dealbata,A,34.9,11.10901503
9,14,Acacia dealbata,A,31.8,10.12225438
9,16,Acacia dealbata,A,32.1,10.21774735
9,5,Eucalyptus radiata,A,132.9,42.30338387
9,7,Eucalyptus radiata,A,87.1,27.72479109
9,8,Eucalyptus radiata,A,77.6,24.70084717
9,11,Eucalyptus radiata,A,99.5,31.67183368
9,17,Eucalyptus radiata,A,173,55.06761031
9,18,Eucalyptus radiata,A,198,63.02535746
9,19,Eucalyptus radiata,A,125.2,39.85239775
9,6,Eucalyptus viminalis,A,498,158.5183233
9,15,Eucalyptus viminalis,A,752,239.3690344
10,2,Eucalyptus camphora subsp. humeana,A,90,28.64788976
10,9,Eucalyptus camphora subsp. humeana,A,165,52.52113122
10,1,Eucalyptus stellulata,A,160,50.92958179
10,1,Eucalyptus stellulata,B,140,44.56338407
10,3,Eucalyptus stellulata,A,120,38.19718634
10,3,Eucalyptus stellulata,A,160,50.92958179
10,10,Eucalyptus stellulata,A,120,38.19718634
10,4,Leptospermum brevipes,A,32,10.18591636
10,4,Leptospermum brevipes,B,32,10.18591636
10,5,Leptospermum brevipes,A,40,12.73239545
10,6,Leptospermum brevipes,A,40,12.73239545
10,7,Leptospermum brevipes,A,80,25.46479089
10,8,Leptospermum brevipes,A,33,10.50422624
10,8,Leptospermum brevipes,B,32,10.18591636
11,4,Acacia irrorata,A,67.6,21.51774831
11,1,Casuarina cunninghamiana,A,149.8,47.68282095
11,2,Casuarina cunninghamiana,A,49.8,15.85183233
11,3,Casuarina cunninghamiana,A,129.5,41.22113026
11,5,Casuarina cunninghamiana,A,141.9,45.16817285
11,9,Casuarina cunninghamiana,A,145.9,46.44141239
11,6,Eucalyptus amplifolia,A,338,107.5887415
11,8,Eucalyptus amplifolia,A,115.8,36.86028482
11,7,Notelaea microcarpa var. microcarpa,A,39.5,12.5732405
12,7,Angophora subvelutina,A,53.6,17.0614099
12,9,Angophora subvelutina,A,134.2,42.71718673
12,10,Angophora subvelutina,A,38.3,12.19126864
12,3,Casuarina cunninghamiana,A,249,79.25916166
12,4,Casuarina cunninghamiana,A,170,54.11268065
12,5,Casuarina cunninghamiana,A,160,50.92958179
12,1,Eucalyptus tereticornis,A,33,10.50422624
12,2,Eucalyptus tereticornis,A,83,26.41972055
12,6,Eucalyptus tereticornis,A,74.3,23.65042454
12,8,Eucalyptus tereticornis,A,56.5,17.98450857
12,11,Eucalyptus tereticornis,A,187,59.52394872
12,12,Eucalyptus tereticornis,A,120.1,38.22901733
12,13,Eucalyptus tereticornis,A,235,74.80282325
13,1,Alphitonia excelsa,A,58.9,18.7484523
13,2,Alphitonia excelsa,A,43.6,13.87831104
13,3,Alphitonia excelsa,A,52,16.55211408
13,4,Alphitonia excelsa,A,49.7,15.82000134
13,5,Alphitonia excelsa,A,37.9,12.06394469
13,8,Alphitonia excelsa,A,35.5,11.30000096
13,18,Alphitonia excelsa,A,61.8,19.67155097
13,32,Alphitonia excelsa,A,74.9,23.84141048
13,37,Alphitonia excelsa,A,37.7,12.00028271
13,22,Banksia integrifolia,A,32.9,10.47239526
13,10,Casuarina glauca,A,107.9,34.34563672
13,13,Casuarina glauca,A,33,10.50422624
13,15,Casuarina glauca,A,38.1,12.12760666
13,16,Casuarina glauca,A,33.7,10.72704316
13,23,Casuarina glauca,A,35.6,11.33183195
13,24,Casuarina glauca,A,42,13.36901522
13,25,Casuarina glauca,A,59.5,18.93943823
13,28,Casuarina glauca,A,33.8,10.75887415
13,29,Casuarina glauca,A,31.6,10.0585924
13,30,Casuarina glauca,A,53.8,17.12507188
13,35,Casuarina glauca,A,31.7,10.09042339
13,43,Casuarina glauca,A,105.3,33.51803102
13,36,Grevillea robusta,A,32.6,10.37690229
13,12,Lophostemon suaveolens,A,380,120.9577567
13,19,Lophostemon suaveolens,A,127,40.42535555
13,20,Lophostemon suaveolens,A,135.4,43.09915859
13,26,Lophostemon suaveolens,A,105,33.42253805
13,31,Lophostemon suaveolens,A,177,56.34084985
13,7,Melaleuca quinquenervia,A,74.2,23.61859355
13,11,Melaleuca quinquenervia,A,83,26.41972055
13,14,Melaleuca quinquenervia,A,65.6,20.88112853
13,27,Melaleuca quinquenervia,A,70.4,22.40901599
13,33,Melaleuca quinquenervia,A,107.4,34.18648178
13,38,Melaleuca quinquenervia,A,57.1,18.1754945
13,39,Melaleuca quinquenervia,A,41.9,13.33718423
13,40,Melaleuca quinquenervia,A,55.5,17.66619868
13,41,Melaleuca quinquenervia,A,61.6,19.60788899
13,6,Melaleuca quinquenervia,A,75.5,24.03239641
13,6,Melaleuca quinquenervia,B,81.2,25.84676276
13,9,Parsonsia straminea,A,31.8,10.12225438
13,17,Tree (Sportsmans 57),A,49.3,15.69267739
13,21,Tree (Sportsmans 57),A,42.1,13.40084621
13,34,Tree (Sportsmans 57),A,33.1,10.53605723
13,42,Tree (Sportsmans 57),A,56.6,18.01633956
14,4,Acacia dealbata,A,38.4,12.22309963
14,1,Eucalyptus radiata,A,181,57.6140894
14,5,Eucalyptus radiata,A,54.5,17.3478888
14,12,Eucalyptus radiata,A,68.1,21.67690325
14,12,Eucalyptus radiata,B,85.5,27.21549527
14,13,Eucalyptus radiata,A,70.4,22.40901599
14,2,Eucalyptus viminalis,A,213,67.80000576
14,3,Eucalyptus viminalis,A,155,49.33803236
14,6,Eucalyptus viminalis,A,130.1,41.41211619
14,7,Eucalyptus viminalis,A,198.5,63.18451241
14,8,Eucalyptus viminalis,A,110.2,35.07774946
14,9,Eucalyptus viminalis,A,83.1,26.45155154
14,10,Eucalyptus viminalis,A,168,53.47606088
14,11,Eucalyptus viminalis,A,112.4,35.77803121
14,14,Eucalyptus viminalis,A,140,44.56338407
14,15,Eucalyptus viminalis,A,145,46.1549335
14,16,Eucalyptus viminalis,A,146,46.47324338
15,3,Acmena smithii,A,78.9,25.1
15,6,Acmena smithii,A,34.2,10.9
15,7,Acmena smithii,A,55,17.5
15,7,Acmena smithii,B,34,10.8
15,7,Acmena smithii,C,32.5,10.3
15,9,Acmena smithii,A,47.6,15.2
15,13,Acmena smithii,A,44.1,14.0
15,13,Acmena smithii,B,41,13.1
15,13,Acmena smithii,C,98.2,31.3
15,13,Acmena smithii,D,47.5,15.1
15,15,Acmena smithii,A,35.6,11.3
15,16,Acmena smithii,A,57.9,18.4
15,17,Acmena smithii,A,135.1,43.0
15,18,Acmena smithii,A,42.5,13.5
15,2,Commersonia fraseri,A,58.6,18.7
15,5,Commersonia fraseri,A,32,10.2
15,1,Eucalyptus resinifera,A,202,64.3
15,14,Eucalyptus resinifera,A,385,122.5
15,11,Eucalyptus tereticornis,A,238,75.8
