"","Label","Site","meanArea","sdArea","count"
"221","lemon herb - 2b.jpg","Mann",4748.3475,793.03086170243,2
"222","lemon herb - 3.jpg","Mann",3140.40025,239.49742339376,4
"223","lemon herb - 4a.jpg","Mann",3797.508,378.558701726694,3
"224","lemon herb - 4b.jpg","Mann",4477.82033333333,343.429301525559,3
"225","lemon herb - 5a.jpg","Mann",5173.342,589.391886895298,2
"226","lemon herb - 5b.jpg","Mann",5895.274,590.083437327299,2
"227","lepidosperma 1 --.jpg","Tuross DS Wadbilliga",213.667833333333,39.6219031922964,24
"228","lepidosperma 2 --.jpg","Tuross DS Wadbilliga",527.92437037037,250.020342634223,27
"229","lepidosperma 3.jpg","Tuross DS Wadbilliga",385.874571428571,75.8114790615148,14
"230","lepidosperma 4.jpg","Tuross DS Wadbilliga",262.638380952381,96.98440666038,42
"231","lepidosperma 5.jpg","Tuross DS Wadbilliga",269.364714285714,70.8679516663672,35
"232","leptospermum - 1.jpg","Genoa",56.6929393939394,21.0070677197869,33
"233","leptospermum - 2_0001.jpg","Genoa",67.80478125,28.853405533595,32
"234","leptospermum - 3.jpg","Genoa",65.6392121212121,30.3917894214021,33
"235","leptospermum - 4.jpg","Genoa",64.0258695652174,29.921267240884,23
"236","leptospermum - 5.jpg","Genoa",46.3627272727273,17.8090955611043,33
"237","leptospermum grandifolia gib- 1.jpg","Gibbo",127.19875,31.444689356228,32
"238","leptospermum grandifolia gib- 2.jpg","Gibbo",128.473703703704,23.9570059045122,27
"239","leptospermum grandifolia gib- 3.jpg","Gibbo",133.58037037037,28.7812923323309,27
"240","leptospermum grandifolia gib- 4.jpg","Gibbo",122.868709677419,17.0816294581705,31
"241","leptospermum grandifolia gib- 5.jpg","Gibbo",119.576071428571,19.3141393877906,28
"242","leptospermum grandifolium - 1.jpg","Nariel",104.112905660377,22.0706796471491,53
"243","leptospermum grandifolium - 2.jpg","Nariel",151.3034,37.4686947677658,35
"244","leucopogon 1.jpg","Tuross at Belowra",6.847,2.28845531964249,73
"245","leucopogon 2.jpg","Tuross at Belowra",8.25124210526316,2.53710519710693,95
"246","leucopogon 3.jpg","Tuross at Belowra",10.3487945205479,2.22660878766408,73
"247","leucopogon 4.jpg","Tuross at Belowra",10.1012068965517,4.59298234199799,87
"248","leucopogon 5.jpg","Tuross at Belowra",9.49764948453608,1.82903935419456,97
"249","Mann carex - 1.jpg","Mann",806.06525,279.944538744582,4
"250","Mann carex - 2.jpg","Mann",360.638571428571,115.104985382703,7
"251","Mann carex - 3.jpg","Mann",263.53725,122.339755902364,4
"252","Mann carex - 4.jpg","Mann",388.719375,177.885964903633,8
"253","Mann carex - 5.jpg","Mann",474.671714285714,163.056618170616,7
"254","mann herb 1 - 1.jpg","Mann",191.901074074074,60.1985336806636,27
"255","mann herb 1 - 2.jpg","Mann",195.405375,45.6469988401662,24
"256","mann herb 1 - 3.jpg","Mann",176.304409090909,47.1799010134899,44
"257","mann herb 1 - 4.jpg","Mann",215.2056875,62.3604284702725,32
"258","mann herb 1 - 5.jpg","Mann",193.794685714286,71.3469692182759,35
"259","mann sedge - 1.jpg","Mann",1235.9682,126.642234297866,10
"260","mann sedge - 2.jpg","Mann",1146.76411111111,183.172142625076,9
"261","mann sedge - 3.jpg","Mann",884.2305,447.931718080446,10
"262","mann sedge - 4.jpg","Mann",1056.062,242.200632195707,14
"263","mann sedge - 5.jpg","Mann",1094.7837,330.88124276411,10
"264","Mann shrub 1 - 1.jpg","Mann",764.433555555556,125.489512284006,9
"265","Mann shrub 1 - 2.jpg","Mann",543.761583333333,137.416191253537,12
"266","Mann shrub 1 - 3.jpg","Mann",851.197454545455,293.06049811135,11
"267","Mann shrub 1 - 4.jpg","Mann",907.9114,133.440836589937,10
"268","Mann shrub 1 - 5.jpg","Mann",788.272538461538,324.650232960185,13
"269","mauve flower herb - 1.jpg","Nariel",287.049791666667,116.243698827629,24
"270","mauve flower herb - 2.jpg","Nariel",285.391321428571,110.214959544571,28
"271","mauve flower herb - 3.jpg","Nariel",196.632869565217,56.1140944791011,23
"272","mauve flower herb - 4.jpg","Nariel",252.841619047619,82.422986944466,21
"273","mauve flower herb - 5.jpg","Nariel",249.962230769231,65.5181570664546,26
"274","nariel - stellaria or not 1.jpg","Nariel",55.6899705882353,16.4386131105732,34
"275","nariel - stellaria or not 2.jpg","Nariel",40.1243023255814,15.9763945177683,43
"276","nariel - stellaria or not 3.jpg","Nariel",76.2091212121212,25.6486407044281,33
"277","nariel - stellaria or not 4.jpg","Nariel",38.9114827586207,18.4314554034447,58
"278","nariel - stellaria or not 5.jpg","Nariel",61.1982,22.1668251231613,50
"279","nariel tea tree 1 - 1.jpg","Nariel",37.373,10.6560466431758,66
"280","notalea - 1.jpg","Wallagaraugh",6000.28366666667,5270.43349753408,3
"281","notalea - 2.jpg","Wallagaraugh",34284.872,NA,1
"282","notalea - 3.jpg","Wallagaraugh",6690.11575,3865.4141381616,4
"283","notalea - 4.jpg","Wallagaraugh",4635.367,1775.37385336765,5
"284","notalea - 4_0001.jpg","Wallagaraugh",19826.703,20318.7161858226,2
"285","oplismenus imbecilis - 1.jpg","Sportsmans",122.3970625,61.370158257712,32
"286","oplismenus imbecilis - 2.jpg","Sportsmans",72.8811052631579,26.2357546250413,38
"287","oplismenus imbecilis - 3.jpg","Sportsmans",120.403935483871,53.6065252576186,31
"288","oplismenus imbecilis - 4.jpg","Sportsmans",53.8793571428571,18.5889407337009,42
"289","oplismenus imbecilis - 5.jpg","Sportsmans",46.8124857142857,12.4682952827218,35
"290","paperbark - 1.jpg","Sportsmans",524.95619047619,242.890615881639,21
"291","paperbark - 2.jpg","Sportsmans",424.671,145.577653814038,18
"292","paperbark - 3.jpg","Sportsmans",524.236,146.994431481133,14
"293","paperbark - 4.jpg","Sportsmans",643.247277777778,153.658507223689,18
"294","paperbark - 5.jpg","Sportsmans",548.528928571429,186.273273231506,14
"295","purple haloragis - 1 .jpg","Cataract",1170.62125,209.341119326977,8
"296","purple haloragis - 2.jpg","Cataract",664.636,220.366019118698,10
"297","purple haloragis - 3.jpg","Cataract",786.851428571429,220.664108426402,7
"298","purple haloragis - 4.jpg","Cataract",1316.75833333333,242.302047817732,6
"299","purple haloragis - 5.jpg","Cataract",1041.70375,111.521427273289,8
"300","rosemary plant 1.jpg","Wadbilliga",193.111423076923,83.740218806102,26
"301","rosemary plant 2.jpg","Wadbilliga",141.97162962963,60.0225126618518,27
"302","rubus parvifolius - 1.jpg","Genoa",1357.7962,385.489129727026,5
"303","rubus parvifolius - 2.jpg","Genoa",856.336888888889,498.449850887089,9
"304","rubus parvifolius - 3.jpg","Genoa",670.5825,415.177836783551,14
"305","rubus parvifolius - x.jpg","Genoa",871.786416666667,579.253291651252,12
"306","scrambler 1 - 1.jpg","Genoa",93.8260588235294,20.767326755238,17
"307","scrambler 1 - 2.jpg","Genoa",110.362434782609,27.7955312396306,23
"308","scrambler 1 - 3.jpg","Genoa",134.008954545455,24.6019235629622,22
"309","scrambler 1 - 4.jpg","Genoa",100.118272727273,30.3657999387811,22
"310","scrambler 1 - 5.jpg","Genoa",108.36745,29.9802959651045,20
"311","scrub nettle 1_0001.jpg","Wadbilliga",1317.80314285714,121.795672173287,7
"312","scrub nettle 2.jpg","Wadbilliga",405.3161,114.425166757289,10
"313","scrub nettle 3.jpg","Wadbilliga",739.596888888889,171.790952918398,9
"314","scrub nettle 4.jpg","Wadbilliga",1218.7132,175.905783067812,5
"315","scrub nettle 5.jpg","Wadbilliga",938.466625,416.870052496985,8
"316","serrated lanceolate shrub - 1.jpg","Genoa",556.987555555556,213.031130728065,9
"317","serrated lanceolate shrub - 2.jpg","Genoa",587.899428571429,188.860805836026,14
"318","serrated lanceolate shrub - 3.jpg","Genoa",1483.36014285714,604.448499710391,7
"319","serrated lanceolate shrub - 4.jpg","Genoa",926.8208,325.270402644323,10
"320","serrated lanceolate shrub - 5.jpg","Genoa",5693.08733333333,2429.18189539736,3
"321","serrated upright herb - 1.jpg","Mann",547.561,198.988623540141,16
"322","serrated upright herb - 2.jpg","Mann",623.099,219.914733838923,19
"323","serrated upright herb - 3.jpg","Mann",345.81275,142.202465810349,24
"324","serrated upright herb - 4.jpg","Mann",491.750058823529,167.137987512366,17
"325","serrated upright herb - 5.jpg","Mann",454.925944444444,205.864292347988,18
"326","shark tooth acacia - 1.jpg","Goodradigbee",54.6693958333333,13.8234118702149,48
"327","shark tooth acacia - 2.jpg","Goodradigbee",53.0439253731343,15.5405005031462,67
"328","shark tooth acacia - 3.jpg","Goodradigbee",31.2337948717949,7.25197687756246,78
"329","shark tooth acacia - 4.jpg","Goodradigbee",39.3790634920635,6.87443488791346,63
"330","shark tooth acacia - 5.jpg","Goodradigbee",50.7499836065574,8.56817784497148,61
"331","shrub 1 - 2 .jpg","Wallagaraugh",35.4589142857143,11.5493217559235,35
